generation,mode,n_simulated,surrogate_rho,mean_std,selected_std,train_time_s,total_sims_saved
0,warmup,100,,,,9.62,0
1,warmup,100,0.2538,0.0509,,0.90,0
2,warmup,100,0.4609,0.0558,,0.94,0
3,warmup,100,0.4352,0.0363,,1.53,0
4,warmup,100,0.4834,0.0443,,2.02,0
5,warmup,100,0.5305,0.0433,,2.22,0
6,warmup,100,0.6140,0.0500,,2.26,0
7,warmup,100,0.5653,0.0459,,2.74,0
8,warmup,100,0.5099,0.0551,,2.86,0
9,warmup,100,0.6286,0.0572,,3.10,0
10,warmup,100,0.6489,0.0440,,3.35,0
11,warmup,100,0.5870,0.0343,,3.74,0
12,warmup,100,0.5893,0.0439,,4.54,0
13,warmup,100,0.5089,0.0470,,5.26,0
14,warmup,100,0.3593,0.0578,,5.02,0
15,warmup,100,0.2946,0.0517,,5.71,0
16,warmup,100,0.4883,0.0608,,6.64,0
17,warmup,100,0.5293,0.0654,,5.73,0
18,warmup,100,0.3625,0.0458,,6.18,0
19,warmup,100,0.2670,0.0430,,6.50,0
20,control,100,0.4012,0.0485,,5.82,0
21,surrogate,20,,0.0511,0.0724,0.43,400
22,surrogate,20,,0.0417,0.0509,0.33,800
23,surrogate,20,,0.0496,0.0572,0.46,1200
24,surrogate,20,,0.0496,0.0426,0.34,1600
25,surrogate,20,,0.0536,0.0463,0.39,2000
26,surrogate,20,,0.0537,0.0321,0.44,2400
27,surrogate,20,,0.0512,0.0471,0.38,2800
28,surrogate,20,,0.0519,0.0428,0.44,3200
29,surrogate,20,,0.0632,0.0738,0.33,3600
30,control,100,0.7087,0.0612,,7.28,3600
31,surrogate,20,,0.0626,0.0941,0.37,4000
32,surrogate,20,,0.0612,0.0898,0.39,4400
33,surrogate,20,,0.0569,0.0733,0.38,4800
34,surrogate,20,,0.0530,0.0521,0.34,5200
35,surrogate,20,,0.0533,0.0402,0.38,5600
36,surrogate,20,,0.0553,0.0309,0.31,6000
37,surrogate,20,,0.0670,0.0715,0.31,6400
38,surrogate,20,,0.0662,0.0501,0.38,6800
39,surrogate,20,,0.0713,0.0744,0.33,7200
40,control,100,0.7183,0.0775,,6.60,7200
41,surrogate,20,,0.0632,0.0555,0.40,7600
42,surrogate,20,,0.0618,0.0573,0.39,8000
43,surrogate,20,,0.0646,0.0920,0.41,8400
44,surrogate,20,,0.0544,0.0404,0.42,8800
45,surrogate,20,,0.0709,0.1172,0.42,9200
46,surrogate,20,,0.0654,0.0847,0.37,9600
47,surrogate,20,,0.0714,0.1065,0.43,10000
48,surrogate,20,,0.0619,0.0512,0.42,10400
49,surrogate,20,,0.0693,0.0722,0.41,10800
50,control,100,0.5258,0.0636,,9.71,10800
51,surrogate,20,,0.0521,0.0713,0.43,11200
52,surrogate,20,,0.0449,0.0345,0.33,11600
53,surrogate,20,,0.0428,0.0280,0.41,12000
54,surrogate,20,,0.0429,0.0292,0.40,12400
55,surrogate,20,,0.0454,0.0417,0.40,12800
56,surrogate,20,,0.0463,0.0434,0.35,13200
57,surrogate,20,,0.0462,0.0442,0.34,13600
58,surrogate,20,,0.0488,0.0598,0.47,14000
59,surrogate,20,,0.0443,0.0369,0.38,14400
60,control,100,0.5942,0.0470,,7.79,14400
61,surrogate,20,,0.0902,0.1498,0.40,14800
62,surrogate,20,,0.0762,0.0827,0.36,15200
63,surrogate,20,,0.0729,0.0679,0.38,15600
64,surrogate,20,,0.0718,0.0634,0.36,16000
65,surrogate,20,,0.0628,0.0238,0.33,16400
66,surrogate,20,,0.0598,0.0135,0.42,16800
67,surrogate,20,,0.0695,0.0552,0.41,17200
68,surrogate,20,,0.0707,0.0643,0.33,17600
69,surrogate,20,,0.0762,0.0949,0.40,18000
70,control,100,0.5143,0.0776,,7.86,18000
71,surrogate,20,,0.0647,0.0848,0.42,18400
72,surrogate,20,,0.0559,0.0425,0.29,18800
73,surrogate,20,,0.0603,0.0658,0.32,19200
74,surrogate,20,,0.0581,0.0508,0.32,19600
75,surrogate,20,,0.0635,0.0775,0.38,20000
76,surrogate,20,,0.0672,0.1095,0.33,20400
77,surrogate,20,,0.0654,0.0943,0.39,20800
78,surrogate,20,,0.0582,0.0484,0.43,21200
79,surrogate,20,,0.0614,0.0697,0.41,21600
80,control,100,0.6732,0.0689,,7.77,21600
81,surrogate,20,,0.0713,0.1033,0.46,22000
82,surrogate,20,,0.0729,0.1094,0.37,22400
83,surrogate,20,,0.0686,0.0818,0.38,22800
84,surrogate,20,,0.0622,0.0578,0.40,23200
85,surrogate,20,,0.0593,0.0425,0.33,23600
86,surrogate,20,,0.0653,0.0701,0.44,24000
87,surrogate,20,,0.0658,0.0730,0.32,24400
88,surrogate,20,,0.0659,0.0686,0.34,24800
89,surrogate,20,,0.0702,0.0947,0.36,25200
90,control,100,0.3618,0.0592,,9.33,25200
91,surrogate,20,,0.0655,0.1434,0.32,25600
92,surrogate,20,,0.0518,0.0812,0.37,26000
93,surrogate,20,,0.0426,0.0460,0.41,26400
94,surrogate,20,,0.0407,0.0399,0.43,26800
95,surrogate,20,,0.0464,0.0720,0.45,27200
96,surrogate,20,,0.0494,0.0982,0.35,27600
97,surrogate,20,,0.0472,0.0875,0.34,28000
98,surrogate,20,,0.0441,0.0757,0.33,28400
99,surrogate,20,,0.0350,0.0487,0.42,28800
100,control,100,0.5335,0.0372,,9.58,28800
101,surrogate,20,,0.0467,0.0867,0.36,29200
102,surrogate,20,,0.0436,0.0760,0.34,29600
103,surrogate,20,,0.0428,0.0818,0.38,30000
104,surrogate,20,,0.0407,0.0760,0.43,30400
105,surrogate,20,,0.0391,0.0727,0.42,30800
106,surrogate,20,,0.0405,0.0770,0.31,31200
107,surrogate,20,,0.0359,0.0565,0.31,31600
108,surrogate,20,,0.0430,0.0884,0.40,32000
109,surrogate,20,,0.0369,0.0643,0.43,32400
110,control,100,0.6452,0.0366,,14.35,32400
111,surrogate,20,,0.0423,0.0666,0.34,32800
112,surrogate,20,,0.0459,0.0575,0.44,33200
113,surrogate,20,,0.0459,0.0596,0.37,33600
114,surrogate,20,,0.0467,0.0645,0.40,34000
115,surrogate,20,,0.0531,0.0808,0.33,34400
116,surrogate,20,,0.0475,0.0624,0.39,34800
117,surrogate,20,,0.0424,0.0464,0.41,35200
118,surrogate,20,,0.0410,0.0282,0.42,35600
119,surrogate,20,,0.0403,0.0375,0.39,36000
120,control,100,0.8544,0.0518,,9.92,36000
121,surrogate,20,,0.1173,0.2810,0.40,36400
122,surrogate,20,,0.0968,0.1702,0.35,36800
123,surrogate,20,,0.0805,0.1186,0.42,37200
124,surrogate,20,,0.0786,0.1267,0.45,37600
125,surrogate,20,,0.0762,0.1096,0.43,38000
126,surrogate,20,,0.0767,0.1107,0.35,38400
127,surrogate,20,,0.0785,0.1183,0.41,38800
128,surrogate,20,,0.0808,0.1217,0.43,39200
129,surrogate,20,,0.0738,0.0919,0.37,39600
130,control,100,0.9082,0.0806,,11.39,39600
131,surrogate,20,,0.0690,0.0684,0.42,40000
132,surrogate,20,,0.0672,0.0868,0.36,40400
133,surrogate,20,,0.0640,0.0772,0.33,40800
134,surrogate,20,,0.0709,0.1085,0.40,41200
135,surrogate,20,,0.0706,0.1110,0.30,41600
136,surrogate,20,,0.0662,0.0882,0.37,42000
137,surrogate,20,,0.0627,0.0904,0.39,42400
138,surrogate,20,,0.0700,0.1203,0.43,42800
139,surrogate,20,,0.0677,0.0968,0.43,43200
140,control,100,0.6519,0.0723,,13.69,43200
141,surrogate,20,,0.0722,0.1000,0.44,43600
142,surrogate,20,,0.0678,0.0838,0.38,44000
143,surrogate,20,,0.0689,0.0878,0.32,44400
144,surrogate,20,,0.0649,0.0729,0.43,44800
145,surrogate,20,,0.0675,0.0846,0.43,45200
146,surrogate,20,,0.0738,0.1180,0.42,45600
